DOY,Time,F1,F2,F3,F4,F5,F6,F7,F8
133,1730,0,NaN,NaN,NaN,NaN,0.012134,NaN,NaN
133,1800,0,NaN,NaN,NaN,NaN,0.012161,NaN,NaN
133,1830,0,NaN,NaN,NaN,NaN,0.015448,NaN,NaN
133,1900,0,NaN,NaN,NaN,NaN,0.015475,NaN,NaN
133,1930,0,NaN,NaN,NaN,NaN,0.012243,NaN,NaN
133,2000,0,NaN,NaN,NaN,NaN,0.0090305,NaN,NaN
133,2030,0,NaN,NaN,NaN,NaN,0.0042373,NaN,NaN
133,2100,0,NaN,NaN,NaN,NaN,0.0026677,NaN,NaN
133,2130,0,NaN,NaN,NaN,NaN,0.0026946,NaN,NaN
133,2200,0,NaN,NaN,NaN,NaN,0.0027216,NaN,NaN
133,2230,0,NaN,NaN,NaN,NaN,0.0027485,NaN,NaN
133,2300,0,NaN,NaN,NaN,NaN,0.017332,NaN,NaN
133,2330,0,NaN,NaN,NaN,NaN,0.054787,NaN,NaN
134,0,0,NaN,NaN,NaN,NaN,0.04955,NaN,NaN
134,30,0.0015989,NaN,NaN,NaN,NaN,0.039204,NaN,NaN
134,100,0.0015718,NaN,NaN,NaN,NaN,0.030741,NaN,NaN
134,130,0.0031759,NaN,NaN,NaN,NaN,0.024076,NaN,NaN
134,200,0.0015176,NaN,NaN,NaN,NaN,0.01914,NaN,NaN
134,230,0.0031216,NaN,NaN,NaN,NaN,0.015885,NaN,NaN
134,300,0.0030945,NaN,NaN,NaN,NaN,0.014279,NaN,NaN
134,330,0.0047036,NaN,NaN,NaN,NaN,0.012678,NaN,NaN
134,400,0.0030402,NaN,NaN,NaN,NaN,0.011082,NaN,NaN
134,430,0.0013821,NaN,NaN,NaN,NaN,0.0078789,NaN,NaN
134,500,0.001355,NaN,NaN,NaN,NaN,0.0046961,NaN,NaN
134,530,0,NaN,NaN,NaN,NaN,0.0015335,NaN,NaN
134,600,0.0013008,NaN,NaN,NaN,NaN,0.0015604,NaN,NaN
134,630,0.0012737,NaN,NaN,NaN,NaN,0,NaN,NaN
134,700,0.0012466,NaN,NaN,NaN,NaN,0.0015198,NaN,NaN
134,730,0.0028502000000000002,NaN,NaN,NaN,NaN,0,NaN,NaN
134,800,0.002823,NaN,NaN,NaN,NaN,0,NaN,NaN
134,830,0,NaN,NaN,NaN,NaN,0,NaN,NaN
134,900,0,NaN,NaN,NaN,NaN,0,NaN,NaN
134,930,0,NaN,NaN,NaN,NaN,0,NaN,NaN
134,1000,0,NaN,NaN,NaN,NaN,0,NaN,NaN
134,1030,0,NaN,NaN,NaN,NaN,0,NaN,NaN
134,1100,0,NaN,NaN,NaN,NaN,0,NaN,NaN
134,1130,0,NaN,NaN,NaN,NaN,0,NaN,NaN
134,1200,0,NaN,NaN,NaN,NaN,0.0024355,NaN,NaN
134,1230,0,NaN,NaN,NaN,NaN,0.0023678,NaN,NaN
134,1300,0.0058279,NaN,NaN,NaN,NaN,0.0087149,NaN,NaN
134,1330,0.020813,NaN,NaN,NaN,NaN,0.021725,NaN,NaN
134,1400,0.03451,NaN,NaN,NaN,NaN,0.031689,NaN,NaN
134,1430,0.057589,NaN,NaN,NaN,NaN,0.052286,NaN,NaN
134,1500,0.085538,NaN,NaN,NaN,NaN,0.077396,NaN,NaN
134,1530,0.11098,NaN,NaN,NaN,NaN,0.10374,NaN,NaN
134,1600,0.13555,NaN,NaN,NaN,NaN,0.12736,NaN,NaN
134,1630,0.16562,NaN,NaN,NaN,NaN,0.15624,NaN,NaN
134,1700,0.18125,NaN,NaN,NaN,NaN,0.16256,NaN,NaN
134,1730,0.16336,NaN,NaN,NaN,NaN,0.14349,NaN,NaN
134,1800,0.13333,NaN,NaN,NaN,NaN,0.11311,NaN,NaN
134,1830,0.089174,NaN,NaN,NaN,NaN,0.071392,NaN,NaN
134,1900,0.050114,NaN,NaN,NaN,NaN,0.039499,NaN,NaN
134,1930,0.027295,NaN,NaN,NaN,NaN,0.020897,NaN,NaN
134,2000,0.015402,NaN,NaN,NaN,NaN,0.012622,NaN,NaN
134,2030,0.010372,NaN,NaN,NaN,NaN,0.034168,NaN,NaN
134,2100,0.018709,NaN,NaN,NaN,NaN,0.0674,NaN,NaN
134,2130,0.016997,NaN,NaN,NaN,NaN,0.063722,NaN,NaN
134,2200,0.011952,NaN,NaN,NaN,NaN,0.074541,NaN,NaN
134,2230,0.015264,NaN,NaN,NaN,NaN,0.076305,NaN,NaN
134,2300,0.016915,NaN,NaN,NaN,NaN,0.067111,NaN,NaN
134,2330,0.013537,NaN,NaN,NaN,NaN,0.058073,NaN,NaN
135,0,0.011842,NaN,NaN,NaN,NaN,0.047439,NaN,NaN
135,30,0.011815,NaN,NaN,NaN,NaN,0.040443,NaN,NaN
135,100,0.011787,NaN,NaN,NaN,NaN,0.033539,NaN,NaN
135,130,0.01176,NaN,NaN,NaN,NaN,0.026726,NaN,NaN
135,200,0.010071,NaN,NaN,NaN,NaN,0.021657,NaN,NaN
135,230,0.008388,NaN,NaN,NaN,NaN,0.018281,NaN,NaN
135,300,0.0067103,NaN,NaN,NaN,NaN,0.014928,NaN,NaN
135,330,0.0083333,NaN,NaN,NaN,NaN,0.011596,NaN,NaN
135,400,0.008306,NaN,NaN,NaN,NaN,0.0082856,NaN,NaN
135,430,0.0066285,NaN,NaN,NaN,NaN,0.0066043,NaN,NaN
135,500,0.0049564,NaN,NaN,NaN,NaN,0.0081492,NaN,NaN
135,530,0.0032898,NaN,NaN,NaN,NaN,0.0032577,NaN,NaN
135,600,0,NaN,NaN,NaN,NaN,0,NaN,NaN
135,630,0.0063421,NaN,NaN,NaN,NaN,0.0013552,NaN,NaN
135,700,0.029732,NaN,NaN,NaN,NaN,0.0027147,NaN,NaN
135,730,0.050641,NaN,NaN,NaN,NaN,0.013795,NaN,NaN
135,800,0.072426,NaN,NaN,NaN,NaN,0.04734,NaN,NaN
135,830,0.10898,NaN,NaN,NaN,NaN,0.088831,NaN,NaN
135,900,0.17,NaN,NaN,NaN,NaN,0.13994,NaN,NaN
135,930,0.21369,NaN,NaN,NaN,NaN,0.17595,NaN,NaN
135,1000,0.23293,NaN,NaN,NaN,NaN,0.19355,NaN,NaN
135,1030,0.25794,NaN,NaN,NaN,NaN,0.21639,NaN,NaN
135,1100,0.24493,NaN,NaN,NaN,NaN,0.20675,NaN,NaN
135,1130,0.27839,NaN,NaN,NaN,NaN,0.22771,NaN,NaN
135,1200,0.29704,NaN,NaN,NaN,NaN,0.23955,NaN,NaN
135,1230,0.30784,NaN,NaN,NaN,NaN,0.24665,NaN,NaN
135,1300,0.31599,NaN,NaN,NaN,NaN,0.25133,NaN,NaN
135,1330,0.31855,NaN,NaN,NaN,NaN,0.25103,NaN,NaN
135,1400,0.30983,NaN,NaN,NaN,NaN,0.24329,NaN,NaN
135,1430,0.30956,NaN,NaN,NaN,NaN,0.23808000000000001,NaN,NaN
135,1500,0.31491,NaN,NaN,NaN,NaN,0.24517,NaN,NaN
135,1530,0.32031,NaN,NaN,NaN,NaN,0.24487,NaN,NaN
135,1600,0.32576,NaN,NaN,NaN,NaN,0.24458,NaN,NaN
135,1630,0.31977,NaN,NaN,NaN,NaN,0.23446,NaN,NaN
135,1700,0.30544,NaN,NaN,NaN,NaN,0.21973,NaN,NaN
135,1730,0.28868,NaN,NaN,NaN,NaN,0.20535,NaN,NaN
135,1800,0.2541,NaN,NaN,NaN,NaN,0.18005,NaN,NaN
135,1830,0.20685,NaN,NaN,NaN,NaN,0.1452,NaN,NaN
135,1900,0.15425,NaN,NaN,NaN,NaN,0.10252,NaN,NaN
135,1930,0.10004,NaN,NaN,NaN,NaN,0.070169,NaN,NaN
135,2000,0.048885,NaN,NaN,NaN,NaN,0.031072,NaN,NaN
135,2030,0.024079,NaN,NaN,NaN,NaN,0.012449,NaN,NaN
135,2100,0.023869,NaN,NaN,NaN,NaN,0.022147,NaN,NaN
135,2130,0.025378,NaN,NaN,NaN,NaN,0.045868,NaN,NaN
135,2200,0.023451,NaN,NaN,NaN,NaN,0.049133,NaN,NaN
135,2230,0.023241,NaN,NaN,NaN,NaN,0.059567,NaN,NaN
135,2300,0.017917,NaN,NaN,NaN,NaN,0.064737,NaN,NaN
135,2330,0.012645,NaN,NaN,NaN,NaN,0.059062,NaN,NaN
136,0,0.0090909,NaN,NaN,NaN,NaN,0.055226,NaN,NaN
136,30,0.0039063,NaN,NaN,NaN,NaN,0.058556,NaN,NaN
136,100,0.0020525,NaN,NaN,NaN,NaN,0.044121,NaN,NaN
136,130,0.0018473,NaN,NaN,NaN,NaN,0.035202,NaN,NaN
136,200,0,NaN,NaN,NaN,NaN,0.028123,NaN,NaN
136,230,0.0012151,NaN,NaN,NaN,NaN,0.019466,NaN,NaN
136,300,7.8818e-4,NaN,NaN,NaN,NaN,0.014242,NaN,NaN
136,330,3.6125e-4,NaN,NaN,NaN,NaN,0.0090693,NaN,NaN
136,400,0,NaN,NaN,NaN,NaN,0.0071955,NaN,NaN
136,430,0,NaN,NaN,NaN,NaN,0.0053277,NaN,NaN
136,500,0,NaN,NaN,NaN,NaN,0.0018501,NaN,NaN
136,530,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,600,0,NaN,NaN,NaN,NaN,9.304e-4,NaN,NaN
136,630,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,700,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,730,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,800,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,830,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,900,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,930,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,1000,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,1030,0,NaN,NaN,NaN,NaN,0,NaN,NaN
136,1100,0.007188,NaN,NaN,NaN,NaN,0.0022006,NaN,NaN
136,1130,0.020337,NaN,NaN,NaN,NaN,0.011366,NaN,NaN
136,1200,0.025085,NaN,NaN,NaN,NaN,0.015669,NaN,NaN
136,1230,0.035171,NaN,NaN,NaN,NaN,0.023403,NaN,NaN
136,1300,0.032957,NaN,NaN,NaN,NaN,0.024404,NaN,NaN
